id,skill,skill_alias
507,Recruiter,TechnicalRecruiter; Recruiting; Recuriter;
508,Regression Testing,RegressionTesting; Regression Test;
509,Remedy, 
510,Replication Server,Sybase Replication Server; ReplicationServer; Sybase ReplicationServer;
511,Report Studio,ReportStudio;
512,ReportNet,CognosReportNet; Report Net;
513,Reports 10g,Reports10g;
514,Reports 6i,Reports6i
515,Reports 9i,Reports9i;
516,RHEL, 
517,RMAN, 
518,RMI,Remote Method Invocation; rmi-iiop; rmi/iiop;
519,RPG,Report Program Generator; RPG/400;
520,RS/6000,IBM RS6000;
521,RS232, 
522,RTX, 
523,Ruby,Ruby on Rails; Jruby; Ruby Rails; Rails; RoR;
524,RUP,Rational Unified Process;
525,Samba, 
526,SAML,Security Assertion Markup Language;
527,SAN,Storage Area Network;
528,SAP ABAP,SAP ABAP/4;
529,SAP AFS,SAP Apparel and Footwear Solution; SAP Apparel Footwear Solution;
530,SAP ALE,SAP-ALE;
531,SAP AM,SAP Asset Management;
532,SAP Analytics,SAPAnalytics;
533,SAP APO,SAP Advanced Planner Optimizer; SAP Advanced Planner and Optimizer;
534,SAP BASIS, 
535,SAP BI,SAP Business Intelligence;
536,SAP Business Analyst,SAP BusinessAnalyst; SAP/Business Analyst;
537,SAP BW,SAP Business Information Warehouse;
538,SAP CCM,SAP Catalog Content Management;
539,SAP CO,Controlling;
540,SAP Console,SAPConsole;
541,SAP CO-PA,SAP Profitability Analysis;
542,SAP CO-PC,SAP Product Cost Planning;
543,SAP CRM,SAP Customer Relationship Management;
544,SAP DBA,SAP Database Administrator; SAP Data base Administrator;
545,SAP EBP,SAP Enterprise Buyer Professional;
546,SAP ECC,SAP ERP Central Component; SAP Enterprise Resource Planning Central Component;
547,SAP Enterprise Learning, 
548,SAP EP,SAP Enterprise Portal;
549,SAP ERP,SAP Enterprise Resource Planning;
550,SAP FI,SAP Financial Accounting;
551,SAP FICO,SAP FI/CO; SAP FI-CO; SAP FI CO;SAP Financial and Controlling;
552,SAP Financials, 
553,SAP Functional Analyst, 
554,SAP Functional, 
555,SAP GUI,sapgui; SAP Graphical User Interface;
556,SAP HCM Functional,SAP Human Capital Management Functional;
557,SAP HCM,SAP Human Capital Management;
558,SAP HR,SAP Human Resources;
559,SAP HRMS,SAP Human Resource Management Systems;
560,SAP IM,SAP Inventory Management;
561,SAP ITS,SAP Internet Transaction Server;
562,SAP KW,SAP Knowledge Warehouse;
563,SAP LE,SAP Logistics Execution;
564,SAP LS, 
565,SAP Manufacturing, 
566,SAP MDM,SAP Master Data Management;
567,SAP MM,SAP Material Management; SAP Materials Management; SAPMM;
568,SAP Netweaver,SAP Net Weaver; Netweaver; Net Weaver; SAP NetWeaver Developer Studio;
569,SAP PE, 
570,SAP PI, 
571,SAP PLM,SAP Product Lifecycle Management; SAP Product Life Cycle Management; SAP/PLM;
572,SAP PM,SAP Plant Maintenance;
573,SAP Portal,SAP Portals;
574,SAP PP,SAP Production Planning;
575,SAP PP-PI,SAP Production Planning Process Industries;
576,SAP PS,SAP Project Sytstem;
577,SAP QM,SAP Quality Management;
578,SAP R/3,SAP R/3 Basis;
579,SAP R/5,SAPR/5;
580,SAP RE, 
581,SAP SCM,SAP Supply Chain Management;
582,SAP Script,SAPScripts; SAP Scripts; SAPScripts;
583,SAP SD Functional,SAP Sales and Distribution Functional;
584,SAP SD Technical,SAP Sales and Distribution Technical;
585,SAP SD,SAP Sales and Distribution; SAP Sales Distribution;
586,SAP Security,SAP-Security;
587,SAP SEM,SAP Strategic Enterprise Management;
588,SAP Server, 
589,SAP SRM,SAP Supplier Relationship Management;
590,SAP TDMS,SAP Test Data Migration Server;
591,SAP Technical, 
592,SAP TEM,SAP Training and Event Management;
593,SAP Tester,SAP Validation Engineer; SAP Validation Tester;
594,SAP WM,SAP Warehouse Management; SAP Ware House Management;
595,SAP XI,SAP Exchange Infrastructure;
596,SAP, 
597,SAS Clinical,Clinical SAS;
598,SAS Datasets,SAS Data Sets;
599,SAS Developer,SAS Analyst; SAS Programmer; SAS Consultant;
600,SAS Graph, 
601,LAMP, 
602,SAS Macro,SAS/Macro; SAS-Macros; SAS Macros;
603,SAS OLAP,SAS On line Analytical Process; SAS On line Analytical Processing; SAS Online Analytical Process; SAS Online Analytical Processing;
604,SAS SQL,SAS/SQL; SAS-SQL;
605,SAS Stat,SAS/STAT;
606,SAS, 
607,SAS/ACCESS,SAS ACCESS;
608,SAS/CONNECT,SAS CONNECT;
609,SAS/Enterprise Miner,SAS Enterprise Miner;
610,SAS/ETL,SAS ETL; SAS Extraction Loading and Transformation;
611,SAS/ODS,SAS ODS;
612,SAX,Simple API for XML; Simple Application Programming Interface for XML;
613,SDK,Software Development Kit;
614,SDLC,Software Development Life Cycle;
615,Security, 
616,SEEC, 
617,SendMail, 
618,Servlet 2.5,Servlet2.5;
619,Servlet 3.0,Servlet3.0;
620,Servlet,Servlets2.2; servlets; Servlet2.2;
621,SharePoint Server 2007,Microsoft Office SharePoint Server 2007;
622,SharePoint Server,Microsoft Office SharePoint Server;
623,Sharepoint,MOSS; share point;
624,Shell Script,Shell Scripting; ShellScript; ShellScripting;
625,Siebel Admin,Siebel Administrator; Siebel Adminstration;
626,Siebel Analytics,Siebel Analytics Server;
627,Siebel Configuration,Siebel Configurator;
628,Siebel CRM,Siebel sales; Siebel Call Center; Siebel CallCenter; Siebel Customer Relationship Management;
629,Siebel EAI,Siebel Enterprise Application Integration; Siebel Enterprise Applications Integration;
630,Siebel eBusiness,Siebel epharma;
631,Siebel eScript,SiebeleScript;
632,Siebel QA,SiebelQA; Sieble Quality Assurance Analyst;
633,Siebel Tester,SiebelTester; Siebel Testing;
634,Siebel Tools, 
635,Siebel, 
636,SilkTest,Silk Test;
637,Simulink, 
638,Siteminder, 
639,SixSigma,Six Sigma;
640,Smalltalk,Small talk;
641,SMAPI,Simple Messaging Application Programming Interface;
642,SmartForms,Smart Forms;
643,SMTP, 
644,SNMP,Simple Network Management Protocol; Net-SNMP;
645,Snow Flake Schema, 
646,SOA,Service Oriented Architecture;
647,SOAP,Simple Object Access Protocol;
648,Socket Programming, 
649,Solaris Admin,Solaris Administrator; Solaris Administration;
650,Solaris,SunSolaris;
651,Solution Manager,SolMan 4.0; SAP Solution Manager;
652,SOX, 
653,SPARC,SPARC/x86;
654,Spring,Springs; Javasprings; javaspring; Spring Framework;
655,SPUFI, 
656,SQL Navigator,SQLNavigator;
657,SQL Profiler,SQLProfiler;
658,SQL Server DBA,SQLServer DBA; SQL Server Database Administrator; SQL Server Database Administration; SQLServerDBA; MS SQL Server DBA; MS SQLServer DBA;
659,SQL Server Developer, 
660,SQL Server,MS SQL Server 2005; MS SQL Server 2000; MS SQL Server 2007; MS SQL Server 2008; SQLServer 2005; SQLServer 2007; SQLServer 2008; Microsoft SQL Server;SQL Server 2000/2005; MS SQL Server; MS SQLServer;
661,SQL Trace,SQLTrace;
662,SQL, 
663,SQL*LOADER,SQL * LOADER; SQL* LOADER; Oracle SQL*Loader; SQLloader; SQL Loader;
664,SQL*PLUS,SQL * PLUS; SQL* PLUS; SQL Plus; SQLPlus;
665,SQL*Reportwriter,SQL * Reportwriter;
666,SqlLite,SQL Lite Speed; SQL Lite;
667,SQLNet,SQL Net; SQL*Net; SQL * Net;
668,SQR,Structured Query Reporter;
669,SRVCTL, 
670,SSAS,SQL Server Analysis Services; SQL Server Analysis Service;
671,SSIS,SQL Server Integeration Service; SQL Server Integeration Services;
672,SSL, 
673,SSMS,SQL Server Management Studio;
674,SSO,Oracle Single Sign-On;
675,SSRS,SQL Server Reporting services; SQL Server Reporting service; SQLServer Reporting services; SQLServer Reporting service;
676,Star Schema,StarSchema;
677,Statspack, 
678,STL, 
679,Stored Procedures,storedprocedures; stored procs;
680,struts,javastruts; struts framework; jakarta struts; jakartastruts;
681,Sun Certified,Sun Certification;
682,SunOne,Sun One;
683,SVN,Source Version Control;
684,Swing,JavaSwing;
685,SwissSQL, 
686,Sybase ASE 11.9.2, 
687,Sybase ASE 12.5.3, 
688,Sybase ASE,SybaseASE;
689,sybase dba,sybasedba; sybase database administration; sybase database administrator;
690,Sybase Developer,Sybase Consultant;
691,Sybase, 
692,Symbian, 
693,SyncSort, 
694,System Admin,Sys Admin; System Administration; System Administrator;
695,System Programming,Systems Programming;
696,System Testing, 
697,TAMeb,Tivoli Access Manager for e-business;
698,Tandem, 
699,TCP/IP,tcp ip; tcp-ip;
700,Technical Writer,Technical Writing;
701,Telecom,Telecomm; Tele comm;
702,Teradata Administrator,TeradataAdministrator; Teradata Admin; TeradataAdmin; Teradata Administration;
703,teradata dba,tera data dba; Teradata Database Administrator; Tera data Database Administrator;
704,TeraData Developer,Tera Data Developer;
705,Teradata Manager,TeradataManager;
706,Teradata Parallel Transport, 
707,Teradata SQL, 
708,Teradata,Tera Data;
709,Test Cases, 
710,Test Data, 
711,Test Plans, 
712,Test Scripts, 
713,TestDirector,Test Director;
714,TestManager,Rational TestManager; Test Manager;
715,TIBCO Active Database, 
716,TIBCO Admin,TIBCO Administrator; TIBCO Administration;
717,Tibco Business Connect, 
718,TIBCO Business Works, 
719,TIBCO Designer, 
720,TIBCO EMS, 
721,TIBCO Hawk, 
722,TIBCO Rendezvous, 
723,TIBCO, 
724,TIM,Tivoli Identity Manager;
725,Tivoli Admin,Tivoli Administrator; Tivoli Administration;
726,Tivoli, 
727,TKPROF, 
728,TOAD, 
729,Token Ring,TokenRing;
730,Tomcat,tomcat webserver; tomcat web server;
731,Toplink, 
732,Trackplus, 
733,Triggers,Trigger;
734,Trillium, 
735,TSET,Teradata System Emulation Tool; Tera data System Emulation Tool;
736,TSM,tivoli storage manager;
737,TSO,Time Sharing Option;
738,T-SQL,TSQL; T SQL; Transact-SQL;
739,UAT,User Acceptance Test; User Accecptance Testing;
740,U-Boot,UBoot;
741,UDDI,Universal Discovery and Description Integration; Universal Discovery Description Integration
742,UML,Unified Model Language; Unified Modeling Language;
743,UMTS, 
744,Unicenter,Unicenter NSM; Unicenter DSM;
745,Unit Testing,UnitTesting; Unit Test;
746,Unix Admin,Unix Administration; Unix Administrator; Unix System Admin; Unix System Administrator; Unix Systems Administration; Unis Systems Administrator;
747,Unix Internals, 
748,Unix Kernel, 
749,Unix Shell Script,Unix Shellscripting; Unix Shellscripts; Unix Shell Scripting; Unix Shell Scripts; Unix ShellScripts;
750,unix,sco unix; sco-unix; scounix;
751,USB, 
752,Use Cases,UseCases;
753,VAX,Virtual Address Extension;
754,VB,Visual Basic; MSVisual Basic; MicrosoftVisual Basic; VB6.0; Visual Basic6.0; Visualbasic;
755,VB.NET,Visual Basic .NET; Microsoft VisualBasic .Net; Microsoft Visualbasic.net;
756,VBA,Visual Basic for Applications;
757,VBScript,VB Script; Microsoft Visual Basic Script; Microsoft VB Script;
758,VC++,Visual C++; VisualC++;
759,Veritas Cluster server, 
760,Veritas NetBackup, 
761,Veritas Volume Manager, 
762,Veritas, 
763,Vignette, 
764,Vignette Content Management, 
765,Vignette Portal, 
766,Visio,MSVisio; MicrosoftVisio;
767,Visual Café,VisualCafe;
768,Visual Foxpro,VisualFoxpro;
769,Visual InterDev,Visual Inter Dev; MSVisual InterDev;
770,Visual J++,VisualJ++;
771,Visual Studio 2003,VisualStudio 2003;Visual Studio.Net 2003; VisualStudio.net 2003;
772,Visual Studio 2005,VisualStudio 2005;Visual Studio.Net 2005; VisualStudio.net 2005;
773,Visual Studio 2008,VisualStudio 2008; Visual Studio.Net 2008; VisualStudio.net 2008;
774,Visual Studio.NET,Visual Studio.NET; MS Visual Studio.NET;
775,VisualAge, 
776,VLSI,Very Large Scale Integration;
777,VOIP, 
778,VPN, 
779,VSAM,Virtual Storage Access Method;
780,VSS,Visual Source Safe; Visual SourceSafe;
781,VTAM,Virtual Telecommunications Access Method; Virtual Telecommunications Access Methods;
782,VxWorks, 
783,WAN,Wide Area Network;
784,WAP,Wireless Application Protocol;
785,WAR,Java Web Archive;
786,WBIMB, 
787,WCF,Windows Communication Foundation; Windows Communication Foundations
788,Web 2.0,Web2.0;
789,Web Content Management,WCM;
790,Web Publisher,Webpublisher;
791,Web Services,WebServies; WebServices;
792,WebDynPro,Web DynPro;
793,WebFocus,Web Focus;
794,Webforms,Web Forms;
795,Weblogic 8.1,Web Logic 8.1; Weblogic Application Server 8.1; Web Logic Application Server 8.1;
796,Weblogic Admin,Weblogic Administrator; Weblogic Administration; Weblogic System Administration;
797,Weblogic Portal,Web logic portal; Weblogic Portal Developer; Web logic Portal Development;
798,Weblogic,Web Logic; BEA Weblogic; BEA Web logic; Weblogic Application Server;
799,WebMethods Admin,WebMethods Administration; WebMethods Administrator; Webmethods System Administration;
800,WebMethods Broker,Web Methods Broker Application;
801,WebMethods EDI,Webmethods Electronic Data Interchange;
802,WebMethods,Web Methods;WebMethods Integration Server;
803,WebSeal, 
804,WebSphere Admin,WebSphere Administrator; WebSphere Administration;
805,WebSphere Application Server,WebSphere Application Server 6.0;
806,WebSphere Commerce,Web Sphere Commerce; WebSphere E-Commerce;
807,WebSphere Data Analyzer,Websphere DataAnalyzer;
808,WebSphere DataStage,WebSphere Data Stage;
809,Websphere Message Broker,WMB; WMB 6;
810,Websphere MQ Admin, 
811,WebSphere MQ,WMQ; WebSphere MQSeries; WebspherMQ;
812,WebSphere Process Server,WPS;
813,WebSphere,Web Sphere;
814,White Box,Whitebox;
815,WID, 
816,Win CE,WinCE;
817,Win32 API,Win32 Application Programming Interface;
818,Windows 2000,Windows2000; Windows 2000 Professional; Window 2000; Win 2000; Win2000;
819,Windows 2003,Windows2003; Windows 2003 Server; Windows Server 2003; Windows 2003 Enterprise Server; Window 2003; Win 2003; Win2003;
820,Windows 2005,Windows2005; Windows 2005 Server; Windows Server 2005; Windows 2005 Enterprise Server; Window 2005; Win 2005; Win2005;
821,Windows 2008,Windows2008; Windows 2008 Server; Windows Server 2008; Windows 2008 Enterprise Server; Window 2008; Win 2008; Win2008;
822,Windows Admin,Windows Administrator; Windows Adminstration; Windows 2003 Admin; Windows Server Admin;
823,Windows NT 4.0,Windows NT 4.0 Server; Win NT 4.0; WinNT 4.0;
824,Windows NT Admin,Win NT Admin; Win NT Administrator;
825,Windows NT Backup, 
826,Windows NT,Win NT; Windows NT Server;
827,Windows Vista,WindowsVista; Win Vista;
828,Windows XP,Windows XP Professional; WindowsXP; WinXP;
829,Winforms,Windows Forms;
830,Winrunner,Win Runner;
831,Wireless,Wire less;
832,WiX, 
833,WM,Warehouse Management; Ware House Management;
834,WML,Wireless Markup Language;
835,Word,MSWord;
836,Workflow Builder,Work flow Builder;
837,WorkFlow Manager,Work Flow Manager;
838,Workflow,Work Flow;
839,WPF,Windows Presentation Foundation; Windows Persentation Foundations;
840,WSAD,WebSphere Studio Application Developer; Web Sphere Studio Application Developer; IBM WebSphere Studio Application Developer; IBM Web Sphere Studio Application Developer;
841,WSDL,Web Services Description Language;
842,WSS,Windows Sharepoint Services; Windows Sharepoint Service;
843,WWF,Windows Workflow Foundation; Windows Workflow Foundations;
844,Xdoclets, 
845,xDSL, 
846,XHTML,Extensible Hypertext Markup language; Extensible Hyper text Markup language;
847,XML WebServer,XML Web Server; XMLWebServer; Extensible Markup Language Web Server;
848,XML,Extensible Markup Language; MS XML; MSXML;
849,XmlSpy,XmlSpy 5.0; XmlSpy5.0;
850,XPEDITER, 
851,XSD, 
852,XSL, 
853,XSLT,Extensible Stylesheet Language Transformation;
854,Z/OS,MVS Z/OS; ZOS;
855,Oracle Identity Management,Oracle IdentityManagement;
856,Oracle ERP,OracleERP; Oracle Enterprise Resource Planning;
857,Silverlight, 
858,Silverlight 2.0,Silverlight2.0;
859,Acegi, 
860,AmiPro, 
861,Android, 
862,Anthill, 
863,APEX, 
864,AspectJ, 
865,Avaya, 
866,BADI, 
867,Bamboo, 
868,Basel, 
869,Bash, 
870,BGP, 
871,BladeLogic,Blade Logic;
872,Blaze, 
873,Bluetooth, 
874,BOBJ XI,BOBJ XI Developer;
875,BOSDK, 
876,BPEL, 
877,BridgeStream, 
878,Businessworks,Business Works;
879,Captiva, 
880,Celerra, 
881,Centura, 
882,Change Data Capture,CDC;
883,CheckPoint, 
884,Cisco CVP, 
885,Cisco IPCC, 
886,Cisco Pix Firewalls, 
887,Cisco Universal Contact Center Enterprise,UCCE;
888,Cisco VPN3000, 
889,Citrix Access, 
890,Citrix CPS,Citrix Presentation Server;
891,Citrix Secure Gateway, 
892,Clinical Data Warehouse,Clinical DataWarehouse;
893,CMMI, 
894,Codasyl, 
895,Complex Data Exchange,CDE;
896,Control-M Scheduler, 
897,Courion, 
898,Crawler, 
899,Data Integrator, 
900,Data Migration, 
901,DataCert AIMS, 
902,Dataflux,Data Flux;
903,DBUnit, 
904,Dev Inspect, 
905,Django, 
906,DotNetNuke,dotnet nuke;
907,DuckCreek, 
908,EasyTrieve, 
909,eBusiness Suite, 
910,eCommerce,e-Commerce; ecom; e-com; Electronic Commerce;
911,EIGRP, 
912,EMC SMARTS, 
913,Endeca, 
914,ENDUR, 
915,Epicor, 
916,ESB, 
917,ESSCMD, 
918,Fix Messaging,Financial Information eXchange Messaging;
919,FlashLite, 
920,FXMM, 
921,GIS Web Mapping,Geographic Information System Web Mapping;
922,Glassfish, 
923,Golden Gate, 
924,GPS, 
925,Greenplum, 
926,HIPAA, 
927,Holosofx, 
928,HP Blade, 
929,Hyperion Analyzer, 
930,Hyperion HFM, 
931,Iconix, 
932,ILOG, 
933,Infinium, 
934,Integration Manager, 
935,Interwoven Worksites,Interwoven worksite;
936,Introscope, 
937,iphone,i-phone; i phone;
938,JAAS, 
939,JAI,Java Advanced Imaging;
940,JavaMail, 
941,JCAPS, 
942,JD Edwards EnterpriseOne, 
943,Jolt, 
944,Jrocket, 
945,Jrules,Jrule;
946,Jtest, 
947,KVM, 
948,Liferay,Liferay Portal;
949,LINQ, 
950,LITEPOINT, 
951,LiveLink,Live Link;
952,LoanIQ, 
953,Lombardi, 
954,Luster, 
955,Manugistics, 
956,Maximo EAM,Maximo Enterprise Architecture Management;
957,Maxl, 
958,Menu Painter, 
959,MESSA, 
960,Metadata, 
961,MIDP, 
962,MQ Messaging, 
963,MQSeries Integrator, 
964,MQSI, 
965,MS Reporting Services, 
966,Mutex, 
967,NAS Storage Admin, 
968,Netezza,Netezza Dba;
969,Netscreen Firewalls, 
970,NPR Reports, 
971,ODQL,Object Database Query Language;
972,Onegamon, 
973,OpenVMS, 
974,OpsWare, 
975,Oracle Access Manager,OAM;
976,Oracle ADF, 
977,Oracle Data Integrator,Oracle DataIntegrator;
978,Oracle Data Service Integrator, 
979,Oracle EBS, 
980,Oracle Identity Manager,OIM;
981,Oracle PLM,Oracle Product Lifecycle Management; Oracle Product Life Cycle Management;
982,Oracle Retek, 
983,Oracle Role Manager, 
984,Oracle SES,Oracle Secure Enterprise Search;
985,Oracle SQL Scripts, 
986,Oracle UCM, 
987,Orcad, 
988,OSPF, 
989,Outlook,MS Outlook;
990,Paypal, 
991,PDA, 
992,Pega Rules Process Commander,PRPC;
993,Power Exchange, 
994,Qlikview, 
995,Query Analyzer, 
996,Rapid SQL, 
997,Red Prairie, 
998,Release Engineer, 
999,RIP, 
1000,SAP CSS Billing,SAP Client/Server/Server Billing;
1001,SAP i2, 
1002,SAP IDOC, 
1003,SAP Payroll, 
1004,SAP Utility Billing, 
1005,SAS BI Suite,SAS Business Intelligence Suite;
1006,SAS SPDS, 
1007,SATA, 
1008,Savvion, 
1009,Screen Painter, 
1010,SCRUM, 
1011,SeeBeyond,See Beyond;
1012,Selectica, 
1013,Selenium, 
1014,Serena, 
1015,Sharepoint SME, 
1016,Siebel EIM,Siebel Enterprise Integration Manager;
1017,Siebel VisaCare, 
1018,Siperian, 
1019,SiteScope, 
1020,SmartMapper, 
1021,SONET, 
1022,Spring Web Flow,Spring WebFlow; Spring Web Flows; Springs Web Flows;
1023,SQL Server Mobile,Microsoft SQL Server Mobile; MS SQL Server Mobile;
1024,Stellent, 
1025,Streamweaver, 
1026,Subversion, 
1027,SunGuard Banner, 
1028,SunGuard Plus, 
1029,Syslogs, 
1030,Tguard, 
1031,Tivoli Distributed Monitoring, 
1032,Tivoli Enterprise Console, 
1033,Tivoli Framework, 
1034,Tivoli Monitoring, 
1035,Tivoli Netview,Tivoli Net View;
1036,Trizetto Facets, 
1037,Tuxedo, 
1038,Vendavo, 
1039,VeriSign, 
1040,VHDL, 
1041,Visual Force, 
1042,VMS, 
1043,VMWare,VM Ware;
1044,VMWare Virtual Center, 
1045,VssConnect, 
1046,Webl, 
1047,WebSphere Integration, 
1048,WinCVS, 
1049,WinDBG, 
1050,Windows Administrator Exchange, 
1051,WSRR,WebSphere Service Registry Repository;
1052,Xen, 
1053,XJS, 
1054,XML Parser,XMLParser; Extensible Markup Language Parser; XML Parsers;
1055,XML Schema,XMLSchema; Extensible Markup Language Schema;
1056,XPATH, 
1057,Absence Management, 
1058,ACATS,Automated Customer Account Transfer Service;
1059,ACE,Advanced Computing Environment;
1060,ACL,Application Control Language;
1061,ActiveSync,Active Sync;
1062,Adabase,Adaptable Data Base System;
1063,ADDM,Automatic Database Diagnostic Monitor;
1064,Adobe Creative Suite,Acrobat Adobe Creative Suite;
1065,Alfresco, 
1066,ALM,Application LifeCycle Management; Application Life Cycle Management;
1067,Amiga, 
1068,AML,Astronomical Markup Language;
1069,AMQP,Advanced Message Queuing Protocol;
1070,AMS,Adaptable Modular Storage; AMS Storage;
1071,Analysis Services,Analysis Service;
1072,Anblicks, 
1073,AOP,Aspected Oriented Programming;
1074,Apache HTTP Server,Apache HyperText Transfer Protocol Server;
1075,Apache Myfaces,Apache Myfaces Web Server; Apache Myfaces Web Server Application;
1076,App Store, 
1077,AppExchange, 
1078,Apple Mac,Mac;
1079,Applix, 
1080,AppsLib, 
1081,ArcGis, 
1082,ArcObjects,ArcObject;
1083,Argo, 
1084,ASIC,Application Specific Integrated Circuit;
1085,Asset Manager, 
1086,ATG, 
1087,ATG Commerce, 
1088,Atrium, 
1089,Atrium CMDB,Atribum Configuration Management Database;
1090,Avamar,EMC Avamar;
1091,AVP,Average Voice Packet;
1092,AWS,Apple Workgroup Server; Apple Work Group Server;
1093,B2B, 
1094,Backend,Back end;
1095,Bada OS, 
1096,BAM,Business Application Management;
1097,BAPI,Business Application Programming Interface;
1098,Basel Risk Modeller,Basel Risk Modeler;
1099,BDC,Business Data Catalog;
1100,Blade Server,BladeServer; Blade Servers;
1101,BOBJ,BOBJ Developer;
1102,BODI,Business Objects Data Integrator;
1103,BPM,Business Process Management;
1104,BRMS,Business Rule Management System;
1105,Build Configuration, 
1106,Build Engineer, 
1107,Build Manager, 
1108,Business Intelligence Development Studio,Business Intelligence Studio; BIDS;
1109,CA Gen,CA-Gen;
1110,Castor, 
1111,CCIE,Cisco Certified Internetwork Expert;
1112,CCNP,Cisco Certified Network Professional;
1113,Cellphone,Cell phone
1114,Chatter, 
1115,Chief Administrative Office,CAO;
1116,Chief Business Officer,CBO;
1117,Chief Communications Officer,CCO;
1118,Chief Data Officer,CDO;
1119,Chief Executive Officer,CEO;
1120,Chief Financial Officer,CFO;
1121,Chief Information Officer,CIO;
1122,Chief Legal Officer,CLO;
1123,Chief Networking Officer,CNO;
1124,Chief Operating Officer,COO;
1125,Chief Technical Officer,CTO;
1126,Chordiant,Chordiant Developer;
1128,Chrome,Google Chrome;
1129,Chromium,Google Chromium;
1130,Citrix Access Gateway, 
1131,Citrix Access Suite, 
1132,Citrix Admin,Citrix Administrator; Citrix Administration;
1133,Citrix Edgesight, 
1134,Citrix NetScaler, 
1135,Citrix Server, 
1136,Citrix Virtualization, 
1137,Citrix XenApp,XenApp;
1138,Citrix XenDesktop,XenDesktop;
1139,Citrix XenServer,XenServer;
