id,skill,skill_alias
1140,Cloud Computing,Cloud;
1141,Cluster, 
1142,CodeWarrior,Code Warrior;
1143,ComArch, 
1144,Content Developer, 
1145,Content Management, 
1146,CRM,Customer Relationship Management;
1147,CyberFusion,Cyber Fusion;
1148,CyberQuery, 
1149,DASD,Data Access Storage Device;
1150,Dash Board,Dashboard;
1151,Data Acquisition, 
1152,Data Base Analyst,Database Analyst;
1153,Data Base Architect,Database Architect;
1154,Data Base Programmer,Database Programmer;
1155,Data Center,DataCenter;
1156,Data Dictionary,DataDictionary;
1157,Data Integration,DataIntegration;
1158,Data Mapping, 
1159,Data Profiler, 
1160,Data Profiling, 
1161,Data Stage,DataStage;
1162,Data Structure,Data Structures;
1163,Data Validation, 
1164,DBMS,Data Base Management System; Data Base Management Systems; Database Management System; Database Management Systems;
1165,DCL,Data Control Language;
1166,DDL,Data Definition Language;
1167,Decryption, 
1168,Demantra, 
1169,Deployment, 
1170,Desk Top,Desktop;
1171,DHCP,Dynamic Host Configuration Protocol;
1172,Dialogue, 
1173,Dimensional modeling,Dimensional Modelling;
1174,Director, 
1175,DirectShow, 
1176,DLL,Dynamic Link Library; Dynamic Link Libraries;
1177,DML,Data Manipulation Language;
1178,Docomo, 
1179,DOJO, 
1180,Eagle Pace, 
1181,Eagle Pace Business Analyst, 
1182,EAM,Enterprise Architecture Management;
1183,Ecora, 
1184,ECRM,Enterprise Customer Relationship Management;
1185,Edify, 
1186,eDirectory, 
1187,EDL,Enterprise Definition Language;
1188,EDM,Enterprise Data Management;
1189,EDW,Enterprise Data Warehouse;
1190,EMC, 
1191,Empirix Hammer, 
1192,Encryption, 
1193,Endevor, 
1194,Enterprise digital assistant, 
1195,Enterprise Manager, 
1196,EPM,Enterprise Process Managment;
1197,ERM,Enterprise Risk Management;
1199,eScript,e Script;
1201,ESM,Enterprise Security Management;
1202,ESQL,Embedded Structured Query Language;
1203,Executive Director, 
1204,Expression Blend, 
1205,EXTJS, 
1206,Facebook,Face Book;
1207,Fatwire, 
1208,Firebird, 
1209,Firefox, 
1210,Firmware, 
1211,Flash Lite, 
1212,FrontEnd,Front End;
1213,Futrix, 
1214,Gateway, 
1215,Genesys, 
1216,GetJar, 
1217,Ghost, 
1218,GlobalScape, 
1219,Gof, 
1220,Handmark, 
1221,HFM, 
1222,Shoebox, 
1223,IBMS,Integrated Business Management System;
1224,Identity Management, 
1225,Identity Manager, 
1226,iManager, 
1227,inetSoft, 
1228,Info View, 
1229,Infosphere,Info Sphere;
1230,Infrastructure Management, 
1231,Integration Services,Integration Service;
1232,Intel Application Accelerator, 
1233,Interwoven,Inter woven;
1234,iPad, 
1235,iPod, 
1236,iProc, 
1237,ipsec,Internet Protocol Security;
1238,iSeries, 
1239,iStore, 
1240,itsNat, 
1241,IVR,Interactive Voice Response;
1242,J2ME,Java ME;
1243,J2SE, 
1244,JAD,Java Application Descriptor;
1245,JAROS, 
1246,JasperReports,Jasper Reports; Jasper Report; JasperReport;
1247,JavaFX,Java FX;
1248,JBOSS Cache,Jboss Application Server Cache;
1249,JBOSS CMS,Jboss Application Server CMS;
1250,JBOSS Portal,Jboss Application Server Portal;
1251,JBOSS Server,Jboss Application Server;
1252,JBOSS Web Server,JBOSS Web Application Server;
1253,JBPM,Java Business Process Management;
1254,JCA, 
1255,JDE,Java Development Environment;
1256,Jgroups, 
1257,JIRA, 
1258,JNI,Java Native Interface;
1259,JQuery, 
1260,Jrockit, 
1261,Kofax, 
1262,LAPI,Low level Application Programming Interface;
1263,Lazarus, 
1264,Legato, 
1265,LIMS,Library Information Management System;
1266,Lingo, 
1267,LISA,Linux Installation System Administration; Linux Installation and System Administration;
1268,LogiXML, 
1269,LucidEra, 
1270,Mainframe Developer,Mainframe Programmer;
1271,MAPI,Messaging Application Programming Interface;
1273,MaxDB, 
1274,MCML,Media Center Markup Language;
1275,Message Broker, 
1276,Metastorm, 
1277,Metranet, 
1278,Media Gateway, 
1279,MicroBrowser,Micro Browser;
1281,Office Suite,OfficeSuite;
1282,Microwave Backhaul, 
1283,MIIS,Microsoft Identity Integration Server;
1284,Mobile ADF,Mobile Application Development Framework;
1285,Mobile Application Development,Mobile Apps Developer; Mobile Application Programmer;
1286,Mobile Computing, 
1287,Mobile Phone, 
1288,Mobile UI,Mobile User Interface;
1289,Mobilinux, 
1290,MoSoSo, 
1291,MoSync, 
1292,MS Office,Microsoft Office;
1293,Murex,Murex Workflow; Murex XML;
1294,MySpace, 
1295,Neoview, 
1296,Network Admin,Network Administrator; Network Administration;
1297,Networx Facets, 
1298,Nexus, 
1299,Nokia, 
1300,Novell, 
1301,OAF,Oracle Application Framework; Oracle Applications Framework;
1302,OBIEE BI,Oracle Business Intelligence; Oracle Bi Suite Enterprise Edition Business Intelligence;
1303,OBIEE BI Publisher,Business Intelligence Publisher;
1304,Object Pascal, 
1305,Objective-C,Objective C; ObjectiveC;
1306,Omnis Studio, 
1307,Open Replicator, 
1308,Open Source,Opensource;
1309,Open View,Openview; OpenView Admin; OpenView Administrator; Open View Admin; Open View Administrator;
1310,Openmoko, 
1311,Operating System,Operating Systems;
1312,Oracle Agile PLM, 
1313,Oracle AIA, 
1314,Oracle Apex, 
1315,Oracle Berkeley, 
1316,Oracle BI,Oracle Business Intelligence;
1317,ORacle BI Publisher,Oracle Business Intelligence Publisher;
1318,Oracle BRM, 
1319,Oracle Configurator,Oracle Configurator R12;
1320,Oracle Data Service, 
1321,Oracle Database Lite, 
1322,Oracle Identity Federation,OIF;
1323,Oracle OCSG, 
1324,Oracle OSM, 
1325,Oracle POS, 
1326,Oracle Store, 
1327,Oracle Transportation Management,OTM;
1328,Oracle UIM, 
1329,Oracle Virtual Directory,OVD;
1330,Oracle Warehouse Builder,OWB;
1331,OSCache, 
1332,Palm OS, 
1334,Palo, 
1335,Pandora, 
1336,PCBA,Printed Circuit Board Assembly;
1337,PDF,Portable Document Format;
1338,PDLC,Programming Development Life Cycle;
1339,PDM,Process Device Manager;
1340,Pentaho, 
1341,PeopleSoft Treasury, 
1342,Peoplesoft Trees, 
1343,Personal Digital Assistant, 
1344,Pocket PC, 
1345,Pocket Studio, 
1346,Portal Management, 
1347,Porfolio Management, 
1348,Portlet,Portlet Developer;
1349,Power Center, 
1350,President, 
1351,Prism, 
1352,Pro E,Pro Engineer;
1353,Process Management, 
1354,Program Management, 
1355,Progress, 
1356,Project Control Analyst,PCA;
1357,Protoc, 
1358,PRS,Packet Routing Switch;
1359,QA Engineer,Quality Assurance Engineer;
1360,Qlik View,QlikView;
1361,QNXT, 
1363,Qtopia, 
1364,QualComm, 
1365,Quality Tester, 
1367,Quest Manager, 
1368,Quick Base,QuickBase;
1369,RapidMiner, 
1370,RDBMS,Relational DataBase Management System; Relational Database Management Systems; Relational Data base Management System; Relational Data base management systems;
1371,Remedy Management, 
1372,Remitco, 
1373,Replatform Architect, 
1374,Report Writer, 
1375,Reporting Services,Reporting Service;
1376,Resin Application Server, 
1377,Rhomobile, 
1378,Risk Management, 
1379,RSM,Replication Server Manager;
1380,SAAS,Software as a service;
1381,Safari, 
1382,Salesforce.com,Force.com;
1383,Salesforce.com Administrator, 
1384,Salesforce.com Business Analyst, 
1385,Salesforce.com Developer, 
1386,Sandbox Testing, 
1387,SAP AII,SAP Auto ID Infrastructure;
1388,SAP FASM, 
1389,SCCM, 
1390,S-controls, 
1391,SEM,Search Engine Marketing;
1392,SEO,Search Engine Optimization;
1393,Serena TeamTrack, 
1394,Silk Tester, 
1395,SlideME, 
1396,Smarter Agent, 
1397,SOQL, 
1398,SOSL, 
1399,SpagoBI, 
1400,SPARQCode, 
1401,Sun Guard,Sunguard
1402,Sun Identity Manager, 
1403,Symantec, 
1404,TAM,Tivoli Access Manager;
1405,TBSM,Tivoili Business Systems Manager;
1406,TCL,Transaction Control Language;
1407,Test Engineer, 
1408,Test Quest countdown, 
1409,Test Runner, 
1410,TestQuest, 
1411,TestQuest Designer, 
1412,TMF,Tivoli Management Framework;
1413,T-Mobile, 
1414,Tristit, 
1415,UI,User Interface;
1416,Vantage, 
1417,Vice President, 
1418,Virtual Reality, 
1419,Virtual Machine, 
1420,VisualForce, 
1421,Vitria, 
1422,Voice Portal,Voice Portals; voiceportal; voiceportals;
1423,VXML, 
1424,WAUSAU, 
1425,WCS,Websphere Commerce Suite;
1427,Web Admin,Web Administrator; Web Administration;
1428,Web Application,WebApplication; Web Applications;
1429,Web Designer, 
1430,Web Intelligence, 
1431,Web Server,WebServer;
1432,Web Trends,Webtrends;
1433,Web Center,WebCenter;
1434,Windows Azure, 
1435,Windows CE, 
1436,Windows Mobile, 
1437,Windows Server,Windows Servers;
1438,Wintel, 
1439,Wintel Administrator,Wintel System Administrator; Winstel Administration; Wintel System Administration;
1440,WURFL, 
1441,XAML, 
1442,XBOX, 
1443,XCelsius, 
1444,Xcode, 
1445,XML Publisher,Extensible Markup Language Publisher;
1446,XQuery, 
1447,XSQL Servlet, 
1448,Oracle BI Server,Oracle Business Intelligence Server;
1449,Oracle BI Answers,Oracle Business Intelligence Answers;
1450,Oracle BI Interactive Dashboards, 
1451,Oracle BI Delivers,Oracle Business Intelligence Delivers;
1452,Oracle Hyperion Financial Reporting, 
1453,Oracle Business Intelligence Presentation Services,Oracle Business Intelligence Presentation Service;
1454,Oracle Business Intelligence Scheduler, 
1455,Oracle Business Intelligence Client, 
1456,Oracle Business Intelligence Systems Management, 
1457,Spotfire, 
1458,GateIn,GateIn Portal;
1459,WSRP,Web Services for Remote Portlets;
1460,WSIA,Web Services for Interactive Applications;
1461,Retek, 
1462,REIM,Retek Invoice Matching;
1463,RDW,Retek Data Warehouse;
1464,RMS,Retek Merchandise System;
1465,Sterling Integrator, 
1466,Sterling File Gateway, 
1467,Sterling Community Manager, 
1468,Sterling Perimeter Server, 
1469,Sterling Business Integration Suite, 
1470,Sterling Commerce, 
1471,OVO,OpenView Operations;
1472,OVO Admin,OpenView Operations Admin;
1473,WISE Package Studio, 
1474,JExpress, 
1475,DreamShield, 
1476,Siebel CTMS, 
1477,JAXP,Java XML Programming API;
1478,STAX,Streaming API for XML;
1479,ArcSDE, 
1480,ArcSDE DBA,ArcSDE Data Base Administration;
1481,NCDOT GIS,NCDOT Geographic Information System;
1482,TeamTrack, 
1483,GWT,Google Web Toolkit;
1484,GWT RPC,Google Web Toolkit RPC;
1485,GWT Handler,Google Web Toolkit Handler;
1486,LiveCycle,Adobe LiveCycle;
1487,Adobe LiveCycle Enterprise Suite, 
1488,Intelligent Document Platform, 
1489,Cognos TM1, 
1490,Telcordia Granite, 
1491,iRise Studio, 
1492,SAP Treasury, 
1493,SAP BCM, 
1494,Oracle Reveleus, 
1495,Oracle Flexcube, 
1496,Oracle Daybreak, 
1497,Oracle Mantas, 
1498,Ajax4JSF, 
1499,RichFaces, 
1500,Pervasive, 
1501,Pervasive Data Integrator, 
1502,Pervasive PSQL, 
1503,Pervasive Integration Manager, 
1504,Pervasive Data Warehouse, 
1505,Pervasive Data MetaData Manager, 
1506,Pervasive Data Profiler, 
1507,Pervasive Data MatchMerge, 
1508,Pervasive DataRush, 
1509,FIX,Financial Information eXchange;
1510,HiCap,Hi-Cap;
1511,TLM,Transaction level modeling;
1512,SystemC, 
1513,Drools, 
1514,CISSP,Certified Information Systems Security Professional;
1515,Vista,Windows Vista;
1516,eGlue,e-Glue;
1517,MAPICS,Manufacturing Accounting and Production Information Control Systems;
1518,Actimize, 
1519,Drupal, 
1520,SAP EEM,SAP Employee Expense Management;
1521,Empirix, 
1522,SeeBurger, 
1523,EMC Networker,EMC Legato Networker;
1524,BackupPC, 
1525,Cobian, 
1526,DirSync Pro, 
1527,LexisNexis,Lexis Nexis;
1528,Itron IEE, 
1529,Itron, 
1530,BRE,Business Rules Engines;
1531,Infragistics, 
1532,DevExpress, 
1533,TFS,Team Foundation Server;
1534,Team Build, 
1535,nAnt, 
1536,ClickOnce, 
1537,LMO4LS, 
1538,EdgeSite, 
1539,vSphere, 
1540,Nunit, 
1541,CUDA,Compute Unified Device Architecture;
1542,Oracle PIM,Oracle Product Information Management;
1543,FindBugs, 
1544,Seam,Jboss Seam;
1545,Edifecs, 
1546,XEngine Service, 
1547,SpecBuilder, 
1548,Claredi, 
1549,Microsoft Dynamics CRM,MS Dynamics CRM; Microsoft Dynamics Customer Relationship Management;
1550,Joomla, 
1551,SAP Business One,SAP B1;
1552,SAP BPC, 
1553,Gentoo,Gentoo Linux;
1554,Curam,Curam Software Suite;
1555,TypeFi, 
1556,CXML,Commerce eXtensible Markup Language;
1557,JDOM, 
1558,SCT Banner, 
1559,Luminis Admin,Luminis Administration;
1560,Exadata,Oracle Exadata;
1561,UIBinder, 
1562,SAP ICM,SAP Incentive and Commission Management; SAP Incentive Commission Management;
1563,Microsoft Exchange Server,Microsoft Exchange Server 2003; Microsoft Exchange Server 2007; Microsoft Exchange Server 2010;
1564,Maximo Application Server, 
1565,Peoplesoft Benefits Administration,Peoplesoft Ben Administration; Peoplesoft Ben Admin;
1566,Peoplesoft eProcurement, 
1567,Oracle Fusion Middleware,Oracle Fusion Middleware 11g; OFM; Fusion Middleware;
1568,Cisco ASA Firewall, 
1569,Cisco NAC, 
1570,Cisco CSA, 
1571,Cisco MARS, 
1572,Cisco Securities, 
1573,Cisco UCS,Cisco Unified Computing System;
1574,Siebel Sales Enterprise, 
1575,Mule, 
1576,Maven,Apache Maven;
1577,Websphere Portal, 
1578,Noetix Report,Noetix Reports;
1579,Kalido, 
1580,Kalido Dynamic Information Warehouse,Kalido DIW;
1581,Kalido Master Management,Kalido MDM;
1582,Netapp, 
1583,EMC DMX, 
1584,Websphere Portlet, 
1585,ARCserver, 
1586,Gentran, 
1587,Applix Web, 
1588,Applix TM1, 
1589,Applix Executive Viewer, 
1590,Kimball, 
1591,Inmon, 
1592,Tapestry, 
1593,HTML5, 
1594,SVG,Scalable Vector Graphics;
1595,Joffice, 
1596,WOFF,Web Open Font Format;
1597,Scriptella, 
1598,Weka, 
1599,jHepWork, 
1600,CloverETL,Clover ETL;
1601,Talend, 
1602,OpenVPN,Open VPN;
1603,Cocoon,Apache Cocoon;
1604,AWStats, 
1605,Qcodo, 
1606,Geronimo,Apache Geronimo;
1607,AXIS2,Apache AXIS2;
1608,JacORB, 
1609,Jakarta,Jakarta Tomcat;
1610,Avidemux, 
1611,Kaltura, 
1612,AviSynth, 
1613,Blender, 
1614,Cinelerra, 
1615,Kino, 
1616,Kdenlive, 
1617,CineFX, 
1618,Hbase, 
1619,Hadoop, 
1620,SpringSource, 
1621,WordPress, 
1622,Typo3, 
1623,CMSMadeSimple, 
1624,Silverstripe, 
1625,Plone, 
1626,Umbraco, 
1627,OpenCMS, 
1628,Xoops, 
1629,MODX, 
1630,Concrete5, 
1631,TIKI, 
1632,eZ publish, 
1633,Textpattern, 
1634,e107, 
1635,Teamsite, 
1636,Content Management System,Content Management Systems; CMS;
1637,SAP HANA,SAP High-Performance Analytic Appliance; SAP High Performance Analytic Appliance;
1638,OpenSPARC,Open SPARC;
1639,Weblogic Integration,Web logic Integration;
1640,DropBox,Drop Box;
1641,Basecamp,Base camp;
1642,Highrise,High rise;
1643,Backpack, 
1644,Campfire, 
1645,Evernote,Ever note;
1646,Xero, 
1647,PayCycle, 
1648,WorkFlowMax, 
1649,Logmein, 
1650,Carbonite, 
1651,Springpad, 
1652,Phreebooks, 
1653,Palo BI Suite, 
1654,OpenStack,Open Stack;
1655,SugarCRM, 
1656,Zimbra, 
1657,IaaS,Infrastructure as a service;
1658,PaaS,Platform as a service;
1659,NaaS,Network as a service;
1660,Community cloud, 
1661,Hybrid Cloud, 
1662,Cloud engineering, 
1663,Mobile Cloud Computing, 
1664,webOS,Web Operating System;
1665,Joli OS,Joli Cloud; Jolicloud;
1666,MongoDB,Mongo DB;
1667,Scala, 
1668,Big Data,BigData;
1669,ECM,Enterprise Content Management;
1670,SQLite, 
1671,Model 204, 
1672,Litmus, 
1673,JAXM,Java API for XML Messaging;
1674,Facelets, 
1675,Groovy, 
1676,Camino, 
1677,Omniweb, 
1678,Opera, 
1679,Shiira, 
1680,Ampache, 
1681,Darwin Streaming Server, 
1682,Flash Media Server, 
1683,Firefly Media Server, 
1684,FreeJ, 
1685,Helix Universal Server, 
1686,Icecast, 
1687,Logitech Media Server, 
1688,Mistserver, 
1689,PlayOn, 
1690,Plex, 
1691,PS3 Media Server, 
1692,Red5, 
1693,QuickTime Broadcaster, 
1694,Windows Media Encoder, 
1695,Windows Media Services, 
1696,Wowza,Wowza Media Server;
1697,Sirannon, 
1698,Steamcast, 
1699,Subsonic, 
1700,ColdFire, 
1701,E-Biz,EBiz; E Biz;
1702,UC Browser, 
1703,GLES Driver, 
1704,XML DB,XMLDB;
1705,Data Mover Scripts,Data Mover Script; Peoplesoft Data Mover Scripts; People Soft Data Mover Scripts; DMS;
1706,Inform,Inform 6; Inform 7;
1707,Erlang, 
1708,Windchill,Wind Chill; PTC WindChill;
1709,FirstDoc, 
1710,Grails, 
1711,Primavera,Primavera Enterprise Project Portfolio Management;
1712,Xmarks, 
1713,ActiveReports, 
1714,Jreport, 
1715,Next Reports,NextReports;
1716,SAP FSCM,SAP Financial Supply Chain Management System;
1717,MadCap Capture, 
1718,Infoblox, 
1719,SWAN,State Wide Area Network;
1720,LPAR,logical partinioning;
1721,Teradata Active System Management,TASM;
1722,Cucumber, 
1723,Doctest, 
1724,Frama-C, 
1725,Oliver, 
1726,Rational Quality Manager, 
1727,Parasoft, 
1728,Polyspace, 
1729,Protecode, 
1730,QF-Test, 
1731,QuickCheck, 
1732,Test Studio, 
1733,TestComplete, 
1734,Testing Anywhere, 
1735,TOSCA Testsuite,TOSCA Test suite;
1736,Testwell CTC++, 
1737,WebScarab, 
1738,MadCap Mimic, 
1739,Avro, 
1740,Hive, 
1741,Chukwa, 
1742,Pig, 
1743,Zookeeper, 
1744,Mahout, 
1745,Cassandra, 
1746,Ambari, 
1747,MadCap Lingo, 
1748,Web Editor,WebEditor;
1749,LibreOffice Writer,Libre Office Writer;
1750,OpenOffice Writer,Open Office Writer; Apache OpenOffice Writer;
1751,WordPerfect,Word Perfect; Corel WordPerfect;
1752,EditPlus,Edit Plus;
1753,iWork, 
1754,OpenOffice,Open Office; Apache OpenOffice;
1755,Microsoft Publisher, 
1756,Visual Web Developer Express,Microsoft Visual Web Developer Express;
1757,WebMatrix,Microsoft WebMatrix;
1758,Epic Browser,EpicBrowser;
1759,node.js,nodejs;
1760,MadCap Flare, 
1761,MadCap Feedback, 
1762,AbiWord, 
1763,Client Server Programming,ClientServer Programming; Client-Server Programming;
1764,Robotics, 
1765,Hyper-V,Windows Server Virtualization; Microsoft Hyper-V; HyperV; Hyper V;
1766,Hyper-V Server 2012,Microsoft Hyper-V Server 2012;
1767,XMLP,XML Publisher Concurrent Program;
1768,CMOD,Content Manager OnDemand; IBM Content Manager OnDemand;
1769,PLM,Product Lifecycle Management; Product Life cycle Management;
1770,BIDW,Business Intelligence and Datawarehousing; Business Intelligence Datawarehousing;
1771,SAP EWM,SAP Extended Warehouse Management;
1772,web2py, 
1773,Foglight, 
1774,Z-code, 
1775,Z-machine, 
1776,Glulx, 
1777,System Center Operations Manager,Microsoft System Center Operations Manager; SCOM;
1778,Business Objects Universe,Business Object Universe;
1779,R Programming Language, 
1780,StreamInsight,Stream Insight;
1781,Cocoa, 
1782,Office InfoPath,Microsoft Office InfoPath;
1783,PowerShell,Microsoft PowerShell; Power Shell;
1784,AquaLogic,BEA AquaLogic;
1785,Oracle Service Registry, 
1786,Oracle Entitlement Server, 
1787,Oracle WebCenter Interaction, 
1788,Oracle Enterprise Repository, 
1789,Oracle BPM, 
1790,Natural Language Processing,NLP;
1791,Gupta SQL, 
1792,SQLBase,SQL Base;
1793,PMBOK,Project Management Body of Knowledge;
1794,SQL Server Integration Services,SSIS;
1795,ArcGIS Engine, 
1796,ArcGIS Server, 
1797,HDFS,Hadoop Distributed File System;
1798,Hadoop YARN, 
1799,Hadoop MapReduce, 
1800,BRM,Billing and Revenue Management; Billing Revenue Management;
1801,RICE, 
1802,VSTF,Volunteer Spam Task Force;
1803,MadCap Contributor, 
1804,MadCap Analyzer, 
1805,TROFF, 
1806,Lync,Microsoft Lync;
1807,Entourage, 
1808,SharePoint Workspace, 
1809,Windows Phone, 
1810,Microsoft CRM, 
1811,Dynamics,Microsoft Dynamics; MS Dynamics;
1812,Forecaster, 
1813,Forefront, 
1814,FRx, 
1815,Office Project Server, 
1816,Microsoft Small Business Financials, 
1817,Windows SteadyState, 
1818,Telerik, 
1819,Tririga, 
1820,Jenkins, 
1821,Exalogic, 
1822,ServiceNow, 
1823,WebSphere ESB,WebSphere Enterprise Service Bus; WESB;
1824,WebSphere DataPower Appliances, 
1825,WebSphere Extended Deployment, 
1826,WebSphere Service Registry, 
1827,WebSphere sMash, 
1828,Selenium Grid, 
1829,Selenium WebDriver, 
1830,Selenium Remote Control, 
1831,Selenium IDE, 
1832,JIDE, 
1833,Amazon,Amazon AWS; AWS Amazon;
1834,IBM Smart Cloud,Smart Cloud; SmartCloud;
1835,Oracle Financial Services Analytical Applications,Oracle Financial Services Analytical Application;OFSAA;
1836,SAP GRC, 
1837,Xsigo, 
1838,Tableau,Tableau Server; Tableau Desktop;
1839,KNIME, 
1840,CentOS,Cent OS; Community Enterprise Operating System;
1841,NetOps, 
1842,DevOps, 
1843,Bootstrap, 
1844,Foundation, 
1845,Skeleton, 
1846,HTML5 Boilerplate,HTML5 Boiler plate;
1847,HTML Kickstart,HTML Kick start;
1848,Montage,MontageJS;
1849,SproutCore, 
1850,Zebra, 
1851,CreateJS, 
1852,Less Framework, 
1853,AngularJS,Angular; Angular JS;
1854,Cordova,Apache Cordova;
1855,Arch Linux, 
1856,Arduino, 
1857,Asterisk, 
1858,Backbone.js, 
1859,Bada, 
1860,Bing Maps, 
1861,Bitcoin, 
1862,BuddyPress,Buddy Press;
1863,CakePHP,Cake Php;
1864,CartoDB,Carto DB;
1865,CiviCRM,Civi CRM;
1866,SplendidCRM,Splendid CRM;
1867,EpesiCRM,Epesi CRM;
1868,Clarion, 
1869,Clojure, 
1870,CodeIgniter, 
1871,CoffeeScript,Coffee Script;
1872,D3.js, 
1873,Debian, 
1874,DirectX, 
1875,angular.js,angular; angularjs; angular js;
1876,TeamCenter, 
1877,GMC Inspire, 
1878,Continuous integration,Continuous integration tools;
1879,Buildbot, 
1880,Travis CI,Travis;
1881,Strider,Strider CI;
1882,Codeship,Codeship CI;
1883,Teamcity,Teamcity CI; Team city CI;
1884,Apache Ant, 
1885,Apache Buildr, 
1886,A-A-P, 
1887,Cabal, 
1888,FinalBuilder, 
1889,Flowtracer, 
1890,Gradle, 
1891,IncrediBuild,Incredi Build;
1892,Octopus,Octopus Deploy;
1893,PSake, 
1894,Rake, 
1895,Scons, 
1896,Tweaker, 
1897,Visual Build,VisualBuild;
1898,Waf, 
1899,BuildAMation, 
1900,CMake, 
1901,AnthillPro, 
1902,Continuum,Apache Continuum;
1903,BuildIT, 
1904,BuildOut, 
1905,CABIE, 
1906,CircleCI,Circle CI;
1907,CruiseControl, 
1908,Gitlab,Gitlab CI;
1909,DeployBot, 
1910,Hudson, 
1911,Ansible, 
1912,CFEngine, 
1913,Distelli, 
1914,Otter, 
1915,Puppet, 
1916,SAP Ariba,Ariba;
1917,SAP TR,SAP TR; SAP Treasury;
1918,SAP PA,SAP PA; SAP Personnel Adminstration;
1919,SAP WF,SAP WF; SAP Workflow;
1920,SAP IS,SAP IS; SAP Industry Solutions;
1921,SAP TR-CB,SAP TR CB;
1922,SAP TR-MRM,SAP TR MRM;
1923,SAP TR-CM,SAP TR CM;
1924,SAP TR-LO,SAP TR LO;
1925,SAP TR-TM,SAP TR TM;
1926,SAP TR-FM,SAP TR FM;
1927,SAP PA-APP,SAP PA APP;
1928,SAP PA-BEN,SAP PA BEN;
1929,SAP PA-EMP,SAP PA EMP;
1930,SAP PA-INW,SAP PA INW;
1931,SAP PA-PAY,SAP PA PAY;
1932,SAP PA-TIM,SAP PA TIM;
1933,SAP PA-TRV,SAP PA TRV;
1934,UX Designer,UX Designer; UX Design;
1935,UI Designer,UI Designer; UI Design;
1936,Front-End Designer,Front-End Design; Front End Design; Front End Designer;
1937,SEO/SEM,SEO; SEM;
1938,Social Media,Social Media;
1939,MEAN.JS,meanjs; mean;
1940,Express.js,Expressjs;
1941,OData,O Data;
1942,Chef, 
1943,LYME,Linux Yaws Mnesia Erlang;
1944,Yaws, 
1945,Mnesia, 
1946,CouchDB,Couch db;
1947,JAFFA,Java Application Framework For All;
1948,SymbOS,SYmbiosis Multitasking Based Operating System;
1949,Xplenty, 
1950,Odoo,OpenERP; TinyERP;
